Time of Occurrence,Latitude,Longitude, SST,Chlorophyll a, par,Cells per litre,Day of year,Temperature,Dew point Temperature,Sea level pressure(hPa),Visibility(mi),Wind Speed(knots),Max Temperature(°F),rrsdiff,a_443,a_488,a_547,a_645,a_667,a_678,bb_443,bb_469,adg_443,angstrom
18-11-2019,26.5142,-82.2071,21.96,28.82072,35.46,11083900,322,62.2,54,1011.8,7.5,8.9,77,0.08838,1.0811,0.6375,0.378,0.544,0.8549,0.9221,0.05367,0.05247,-0.2203,0.4401
21-11-2019,26.7984,-82.1822,23.45,24.90454,35.344,13543246,325,61.5,51.3,1021.5,9.5,11.1,80.1,0.09872,1.6904,0.86556,0.4245,0.504,0.7466,0.799,0.02999,0.02928,0.1212,-0.1604
24-01-2020,-77.156389,-12.071111,,,,55000000,24,0.8,-6.5,982.5,999.9,7,4.1,,,,,,,,,,,
11-05-2020,52.105278,4.260833,10.27,7.21557,48.764,38000000,132,48.1,32.5,1016.5,999.9,33,52.9,0.05185,1.7984,1.0377,0.5368,0.6556,1.0653,1.1262,0.20184,0.22229,0.3668,1.2323
15-08-2020,62.534167,-177.081389,,,,44300000,227,53.3,44.3,9999.9,6.2,17.5,53.6,,,,,,,,,,,
12-05-2021,26.331,-81.8462,33.38,10.15041,62.164,11484122,132,82.2,9999.9,9999.9,999.9,11.1,84.6,0.03814,0.2445,0.0763,0.0887,0.3363,0.4466,0.4739,0.01542,0.01467,0.0389,0.7822
14-05-2021,26.25375,-81.82377,34.435,16.15515,61.958,11526144,134,76.5,67.6,1017.4,10,13,91.9,0.07102,0.2594,0.0668,0.0263,0.2552,0.2722,0.2804,0.0046,0.00414,0.1136,1.9468
06-07-2021,27.86192,-83.54037,-3.71,,36.322,10035758,187,79.9,74.6,1016.2,9.6,22.9,93,0.00777,0.0319,0.0288,0.0564,0.3286,0.4378,0.465,0.00596,0.00512,0.0103,0.8803
09-07-2021,27.68397,-82.55902,30.72,23.59028,62.762,13158978,190,82.2,73.5,9999.9,6.5,13,85.1,0.05103,0.3363,0.2334,0.1494,0.4076,0.5978,0.64,0.02057,0.01929,0.0314,0.3695
09-07-2021,27.77654,-82.60807,32.445,16.19789,62.75,17663407,190,83.8,74.5,1019.8,10,8.9,90,0.03914,0.6577,0.3471,0.2008,0.4,0.5649,0.6028,0.01059,0.00994,0.0113,0.2594
09-07-2021,27.6934,-82.5559,31.115,22.5212,62.766,15721844,190,82.2,73.5,9999.9,6.5,13,85.1,0.02807,0.5044,0.1698,0.0574,0.2538,0.26,0.2657,0.00448,0.00401,0.0277,0.6557
12-07-2021,27.759803,-82.631267,37.17,1.25568,60.794,10065896,193,81.8,73.4,1020.5,9.8,14,91,0.03615,0.0976,0.0812,0.0739,0.3482,0.4791,0.51,0.01027,0.00929,-0.0132,1.8751
19-07-2021,27.800892,-82.80336,26.56,3.60299,60.38,15318707,200,83.2,9999.9,1019.7,999.9,12,84.9,0.00664,0.2322,0.1757,0.1243,0.3922,0.5685,0.6082,0.01327,0.0123,-0.0252,-0.1513
19-07-2021,27.765241,-82.771171,28.765,3.60299,57.032,13474209,200,84.4,73.3,1018.7,10,12,91,0.04344,0.2309,0.1751,0.1233,0.3916,0.5675,0.607,0.01532,0.01425,-0.0263,-0.1513
27-09-2021,27.8009,-82.8034,31.355,24.82401,47.82,11960000,270,80.4,9999.9,1018.7,999.9,11.1,83.8,0.06223,0.467,0.2467,0.1544,0.3747,0.5184,0.5522,0.01329,0.01263,0.0141,1.1618
27-09-2021,27.8009,-82.8034,31.355,24.82401,47.82,11960000,270,80.4,9999.9,1018.7,999.9,11.1,83.8,0.06223,0.467,0.2467,0.1544,0.3747,0.5184,0.5522,0.01329,0.01263,0.0141,1.1618
11-10-2021,27.8121,-82.81915,32.21,19.64771,44.012,10819331,284,77.4,9999.9,1013,999.9,14,81,0.05699,0.4528,0.3344,0.208,0.4664,0.7202,0.7749,0.02288,0.02156,-0.0585,0.2177
11-10-2021,27.8121,-82.81915,32.21,19.64771,44.012,10819331,284,77.4,9999.9,1013,999.9,14,81,0.07549,0.5744,0.4199,0.2676,0.515,0.8179,0.8824,0.03425,0.03258,-0.0739,0.2177
12-10-2021,27.12332,-82.47122,29.885,32.17002,32.906,11572766,285,79.5,70,1013.3,999.9,11.1,87.4,0.08419,4.8913,3.7319,2.5013,2.4669,4.7979,5.2732,0.24127,0.23367,-0.4646,1.6074
12-10-2021,27.11382,-82.46883,21.28,32.17002,34.116,12356339,285,79.5,70,1013.3,999.9,11.1,87.4,0.08419,4.8913,3.7319,2.5013,2.4669,4.7979,5.2732,0.24127,0.23367,-0.4646,1.6074
12-10-2021,27.12332,-82.47122,29.885,32.17002,34.412,11572766,285,79.5,70,1013.3,999.9,11.1,87.4,0.14332,4.8913,3.7319,2.5013,2.4669,4.7979,5.2732,0.24127,0.23367,-0.4646,1.013
12-10-2021,27.11382,-82.46883,21.28,32.17002,34.116,12356339,285,79.5,70,1013.3,999.9,11.1,87.4,0.14332,4.3513,3.0715,1.9566,1.9054,3.6247,3.9755,0.19251,0.18896,-0.4646,1.6074
25-10-2021,30.380195,-86.410664,28.105,20.99433,39.202,38425200,298,75.5,70.1,1013.1,9.1,12,84.9,0.0763,5.4725,4.0018,2.3849,2.3612,4.5791,5.0209,0.11434,0.11007,-0.0186,
29-10-2018,27.653233,-82.6757,24.74,49.14795,36.558,26135589,302,72.6,60.2,1019.5,10,9.9,82,0.05649,1.0299,0.7716,0.4442,0.6847,1.1687,1.2673,0.04686,0.04464,-0.237,1.2889
24-10-2018,27.736603,-82.731398,31.025,21.90061,41.204,20413302,297,77.8,67.8,1016.2,10,15.9,84.9,0.0945,1.0449,0.5113,0.2515,0.3997,0.5494,0.5837,0.02387,0.0232,0.0077,0.424
17-10-2018,27.828833,-82.87085,29.585,79.07416,43.86,21271792,290,82.8,73.6,1019.3,10,9.9,91,0.05851,0.8362,0.2749,0.0617,0.2072,0.1481,0.14,0.00633,0.00587,,2.1367
16-09-2018,26.6278,-82.26437,31.365,52.05016,52.07,21841638,259,86.9,75.4,1012.3,10,11.1,91,,0.3502,0.2543,0.152,0.4167,0.6185,0.6625,0.01098,0.01009,-0.0119,0.32125
20-08-2018,27.37317,-82.63202,33.59,6.6099,58.818,22720000,232,80.7,73.5,1017.9,10,13,91.9,0.15543,0.3402,0.2739,0.2017,0.4645,0.7174,0.7728,0.0091,0.00839,-0.1342,2.1345
20-08-2018,27.311,-82.57718,34.125,14.25796,58.492,25280000,232,80.7,73.5,1017.9,10,13,91.9,0.19741,0.523,0.4117,0.2452,0.5126,0.8188,0.8828,0.01875,0.01759,-0.1767,2.1346
20-08-2018,27.12332,-82.47122,17.515,0.89133,52.246,22000000,232,81.7,74.2,9999.9,10,9.9,91.4,0.09528,0.0973,0.0864,0.0721,0.342,0.4657,0.4953,0.00675,0.00599,0.0017,0.424
03-08-2018,27.3316,-82.5779,30.405,13.92059,60.066,28700000,215,81.3,74.3,1018,10,9.9,91,0.11869,0.1157,0.0855,0.0765,0.3465,0.4743,0.5047,0.00448,0.00388,0.0192,0.7117
28-06-2018,26.92467,-82.36189,30.085,73.88979??,62.39,27746720,179,85,75.6,9999.9,9.6,12,91.4,0.01572,0.0897,0.0646,0.0688,0.338,0.4564,0.4851,0.00797,0.00715,0.0306,0.5743
27-07-2018,26.8743,-82.31275,39.37,35.30596,61.172,38803126,208,85.9,77,9999.9,7.6,8.9,91.4,0.19904,0.7055,0.3192,0.1541,0.3371,0.4294,0.4524,0.01416,0.01357,0.1373,0.5213
11-05-2019,68.501667,17.434444,6.69,0.2561,48.18,14900000,131,47.9,33.1,9999.9,999.9,9.7,54.7,0.05434,0.0457,0.0408,0.0586,0.3318,0.4447,0.4725,0.00718,0.00627,0.0048,2.116
16-12-2001,-43.0975,147.730556,19.895,41.55659,68.684,3000000,350,55.7,45.2,1009.7,12.4,12,60.8,0.02337,0.5162,0.0985,0.0002,0.1544,0.0481,0.0308,0.00071,0.00025,0.0122,1.8125
07-04-2003,-31.912222,115.963056,18.505,3.0309,41.098,6000000,97,64.1,46.9,1019.6,10.4,15,75.9,0.03482,0.191,0.1234,0.0953,0.3562,0.4917,0.5236,0.0132,0.01241,0.074,2.1321
18-11-2012,-33.894167,151.278333,19.775,0.71531,64.374,1000000,323,64.4,50.8,1011.3,999.9,999.9,73.6,0.03416,0.0894,0.0618,0.0672,0.3354,0.4506,0.4788,0.0031,0.00257,0.0415,1.5467
07-02-2016,3.58,-49.51,27.955,0.28063,54.724,3500000,38,79,78.8,9999.9,5.6,8.9,80.6,0.00131,0.0472,0.0385,0.0592,0.3306,0.4415,0.469,0.00356,0.00297,0.0175,0.7754
08-06-2001,48.66,-68.08,8.085,4.49869,63.282,1004000,159,55.3,40,1009,29.3,14,68.4,0.08319,0.5427,0.2924,0.1632,0.3821,0.5333,0.5679,0.03398,0.0329,0.3717,-0.0817
01-09-2009,50.14,0.6,17.055,0.94975,45.172,2464400,244,65.1,54.6,1011.1,999.9,15.9,81.3,0.00631,0.083,0.0644,0.0679,0.3394,0.4599,0.4891,0.00763,0.0068,0.0135,0.7038
23-05-2005,50.14,0.6,11.185,1.3127,59.958,28176500,143,53.6,46.3,1017.2,14.4,14,59.4,0.0079,0.1167,0.0747,0.0732,0.3379,0.4548,0.4834,0.01371,0.0127,0.0648,0.934
09-05-2000,50.14,0.6,5.4,1.53116,56.346,1970000,130,57.4,53.9,1016.2,2.1,15.9,63.5,0.01662,0.1632,0.0847,0.0776,0.3313,0.4378,0.4645,0.00928,0.00857,0.1534,0.7368
10-04-2000,50.14,0.6,,2.29888,44.068,6760000,101,46.3,37.8,1010.1,4.8,16.9,57,0.02381,0.191,0.1197,0.0918,0.3516,0.4819,0.5128,0.00909,0.00839,0.09,0.6353
12-07-2020,43.199167,131.918056,26.54,56.69491,62.624,2440000,194,64.1,59.5,1012.9,31.1,17.5,73,0.04676,0.5654,0.1679,0.0349,0.2176,0.1807,0.1775,0.00306,0.0026,0.0426,1.3562
11-03-2019,-5.6,-80.951389,25.42,3.3325,59.922,6400000,70,83.5,68,1010.1,6.2,8.9,97,0.04724,0.233,0.1417,0.1032,0.3581,0.4939,0.5259,0.01051,0.00973,0.1171,1.423
17-01-2018,13.2925,-87.783889,3.07,22.87695,35.692,783740000,17,83.9,58.5,9999.9,999.9,25.1,90,0.02983,0.1372,0.0849,0.077,0.3516,0.4575,0.4862,0.00411,0.00355,0.0325,0.2732
24-01-2018,-6.928611,-79.869722,26.905,10.7694,60.136,96000000,24,76.5,64.3,1009.4,6.2,15,84.9,0.03765,0.2397,3.605,0.1163,0.2293,0.1847,0.1791,0.00716,0.00668,-0.0044,2.0774
20-06-2018,39.948333,4.253889,26.01,0.17038,64.538,9380000,171,74.4,60.6,9999.9,6.2,9.9,85.6,0.02556,0.0251,0.0241,0.0559,0.3277,0.4357,0.4628,0.00337,0.00278,0.0126,0.2654
07-05-2017,28.5,-80.533333,24.215,1.97114,61.97,17643865,127,70.6,51,1014.7,10,14,84.4,0.01198,0.1343,0.0884,0.0795,0.3443,0.4681,0.4979,0.02705,0.02551,0.058,0.5768
17-05-2017,38.097778,-75.278611,20.4,6.95223,,101024000,137,69,63.3,1017.3,10,13,81,0.03949,1.3692,0.8605,0.4787,0.6451,1.0652,1.1522,0.12699,0.12356,0.0697,2.0592
06-07-2017,13.491389,-89.524444,32.5,13.06747,57.896,7140000,187,86.7,73.7,9999.9,6.2,6,91.4,0.04018,1.2884,0.5505,0.213,0.316,0.3622,0.3749,0.0098,0.00933,0.0285,0.9024
31-01-2017,-9.455278,-78.383056,27,3.66294,61.62,4200000,31,79.1,73.3,1011.8,5.5,8.9,85.1,0.06291,0.3945,0.2806,0.1698,0.4292,0.643,0.6894,0.01445,0.01344,0.0024,0.6626
20-01-2017,11.243056,-74.219444,32.74,1.90211,48.162,9183511,20,81.7,71.7,1011.1,6.2,12,89.6,0.02829,0.1966,0.0877,0.0784,0.3225,0.4168,0.4412,0.00645,0.00587,0.077,1.3447
21-01-2017,11.243056,-74.219444,32.74,1.91211,38.162,8185531,20,81.7,71.7,1011.1,6.2,12,89.6,0.02829,0.1966,0.0877,0.0784,0.3225,0.4168,0.4412,0.00645,0.00587,0.077,1.3447
